text,intent
"I'm drained today, like someone unplugged my brain",mood_input
"Everything feels heavy and pointless right now",mood_input
"Honestly? I’m weirdly cheerful today lol",mood_input
"My anxiety is doing cartwheels in my chest",mood_input
"Feeling hyper for no reason omg",mood_input
"I don’t know why but I’m in such a good mood",mood_input
"I'm just sad, nothing dramatic, just sad",mood_input
"Lowkey irritated by everyone breathing near me",mood_input
"My brain is numb but my emotions are loud",mood_input
"Super scared rn, heart racing for no reason",mood_input
"Feeling soft and sentimental tonight",mood_input
"I feel like punching a wall ngl",mood_input
"I’m sooo happy I could scream",mood_input
"Idk what's wrong but I feel off today",mood_input
"I'm feeling romantic and mushy ew help",mood_input
"Today is peaceful… strange but nice",mood_input
"Everything is annoying me today ughh",mood_input
"Feeling really small and fragile",mood_input
"My emotions are glitching like broken WiFi",mood_input
"I feel like crying but also laughing??",mood_input
"lol acting fine but internally screaming",mood_input
"Out of nowhere I’m so joyful today",mood_input
"I'm anxious in a funny way lol",mood_input
"My chest feels tight I’m stressed",mood_input
"Sadness level: soggy fries",mood_input
"Feeling weirdly dreamy and floaty",mood_input
"I’m mad at literally everything right now",mood_input
"I feel safe and warm today",mood_input
"I feel absolutely terrified",mood_input
"lol mood swing just hit like a truck",mood_input
"I’m so bored I might evaporate",mood_input
"Feeling extremely hopeful rn",mood_input
"My heart feels lonely idk why",mood_input
"Totally overwhelmed by nothing",mood_input
"I am in a stupidly good mood for once",mood_input
"Emotionally? I'm a disaster",mood_input
"I’m restless and can’t sit still",mood_input
"I feel oddly relieved today",mood_input
"Everything feels chaotic inside me",mood_input
"I'm scared of my own thoughts rn",mood_input
"Feeling calm, like everything paused",mood_input
"I feel broken but functional",mood_input
"My emotions are in slow motion today",mood_input
"I’m depressed but in a poetic way",mood_input
"Feeling sooo energetic omg",mood_input
"My mood is a messy soup",mood_input
"I feel romantic, like movie romantic",mood_input
"I’m annoyed but too tired to show it",mood_input
"I feel absolutely empty today",mood_input
"my mood = ??? idk man",mood_input
"My fear levels are thru the roof",mood_input
"I feel excited about nothing and everything",mood_input
"Feeling sentimental and nostalgic af",mood_input
"Im feeling extremely low today",mood_input
"I’m weirdly peaceful despite the chaos",mood_input
"I feel like a shaken soda can about to explode",mood_input
"lol emotional rollercoaster day",mood_input
"My mind feels noisy today",mood_input
"Feeling grateful and warm today",mood_input
"I feel sad and soft today",mood_input
"my energy is zero pls send help",mood_input
"I’m terrified of everything rn",mood_input
"Feeling spicy-angry lol",mood_input
"I’m in a floaty, dreamy vibe today",mood_input
"I feel lost and weirdly blank",mood_input
"my brain is foggy foggy foggy",mood_input
"Emotionally melting today",mood_input
"Feeling joyful like a puppy",mood_input
"I feel slightly broken but okay-ish",mood_input
"my emotions are doing jazz hands",mood_input
"I’m feeling heart-heavy today",mood_input
"Feeling super fragile atm",mood_input
"Idk what I feel but it’s not good",mood_input
"I feel chaotic energy inside me",mood_input
"I’m content today, like deeply calm",mood_input
"Feeling panicky even tho nothing is happening",mood_input
"I’m happy but tired but happy?",mood_input
"I can’t decide anything today, just pick a movie for me",ask_recommendation
"What should I watch tonight?",ask_recommendation
"Any good movies you think I’d like?",ask_recommendation
"I'm bored, recommend something fun",ask_recommendation
"Help me choose a movie pls",ask_recommendation
"Throw some movie suggestions my way",ask_recommendation
"My brain is fried, surprise me with something to watch",ask_recommendation
"Suggest a solid movie for a quiet evening",ask_recommendation
"Give me a movie you think everyone should watch",ask_recommendation
"I scroll forever and still can’t pick something",ask_recommendation
"Just recommend something nice idc",ask_recommendation
"What’s a good movie I can watch rn?",ask_recommendation
"I trust your taste, choose a movie",ask_recommendation
"I’ve got snacks but no clue what to watch",ask_recommendation
"Got any movie ideas?",ask_recommendation
"I feel like watching *something*, help me decide",ask_recommendation
"Pick a random but good film for me",ask_recommendation
"Give me a suggestion for a movie I won’t regret",ask_recommendation
"Recommend something comforting please",ask_recommendation
"I don’t want to think, just tell me what to play",ask_recommendation
"What movie deserves my time rn?",ask_recommendation
"What’s worth watching tonight?",ask_recommendation
"Drop a movie recommendation",ask_recommendation
"Give me something fun to watch",ask_recommendation
"I want a good film, choose one",ask_recommendation
"I’m free, what should I watch?",ask_recommendation
"Recommend a movie based on vibes",ask_recommendation
"Suggest anything that isn’t boring",ask_recommendation
"What’s a great movie I might’ve missed?",ask_recommendation
"I need a distraction, recommend a film",ask_recommendation
"Got any solid movie picks?",ask_recommendation
"I hate choosing, can you?",ask_recommendation
"I want to watch a movie but dunno what",ask_recommendation
"Give me a film everyone agrees is good",ask_recommendation
"What movie should I watch while eating?",ask_recommendation
"Suggest a movie with strong storytelling",ask_recommendation
"Any underrated gems you recommend?",ask_recommendation
"Drop me a movie to watch rn",ask_recommendation
"Give me a masterpiece to watch tonight",ask_recommendation
"I need something relaxing to watch, suggestions?",ask_recommendation
"Recommend a movie that fits my mood",ask_recommendation
"I want a thriller but also open to anything, suggest?",ask_recommendation
"Just tell me a movie before I give up choosing",ask_recommendation
"What’s your movie pick for today?",ask_recommendation
"Give me a good film before I fall asleep",ask_recommendation
"Recommend a dramatic movie pls",ask_recommendation
"I’m in the mood for something nice, suggest?",ask_recommendation
"Any binge-worthy movies?",ask_recommendation
"What do you suggest for a cozy night?",ask_recommendation
"I feel restless, what movie should I watch?",ask_recommendation
"Quick, recommend me a movie",ask_recommendation
"I want something funny, got suggestions?",ask_recommendation
"Pick the best movie you can think of",ask_recommendation
"Any movies worth watching this week?",ask_recommendation
"Recommend a good emotional movie",ask_recommendation
"Suggest a fun movie for background noise",ask_recommendation
"I need movie ideas asap",ask_recommendation
"Give me something I won't fall asleep watching",ask_recommendation
"What’s the best movie for a bad day?",ask_recommendation
"Got any fast-paced movie recs?",ask_recommendation
"Give me a movie that people rave about",ask_recommendation
"I’m overwhelmed by choices, just pick one",ask_recommendation
"I want a movie rec, not too heavy though",ask_recommendation
"What’s a good movie for cheering up?",ask_recommendation
"Suggest something entertaining rn",ask_recommendation
"Give me a rainy-day kind of movie",ask_recommendation
"Any movie suggestions before I sleep?",ask_recommendation
"Pick a thriller or anything cool",ask_recommendation
"I’m lazy, choose a movie for me pls",ask_recommendation
"Help me find a movie worth watching",ask_recommendation
"What would YOU recommend?",ask_recommendation
"I just want a solid movie choice",ask_recommendation
"Any movies I shouldn’t skip?",ask_recommendation
"I want something spooky with ghosts",genre_preference
"Give me a lighthearted comedy",genre_preference
"I want crime and mystery today",genre_preference
"I'm in the mood for sci-fi adventures",genre_preference
"Got anything romantic and slow?",genre_preference
"I want dark thrillers with plot twists",genre_preference
"Prefer action-heavy movies rn",genre_preference
"I want a warm cozy family movie",genre_preference
"In the mood for some horror chaos",genre_preference
"Give me space, aliens, weird stuff",genre_preference
"I want something heartbreaking",genre_preference
"Any film with investigations and secrets?",genre_preference
"I want old-school romance",genre_preference
"I'm craving a good fantasy movie",genre_preference
"Give me something dramatic and intense",genre_preference
"I want a chaotic comedy lol",genre_preference
"Anything with magic or witches?",genre_preference
"Give me cyberpunk or futuristic vibes",genre_preference
"I want a survival-type action film",genre_preference
"Looking for warm slice-of-life movies",genre_preference
"I want something visually stunning",genre_preference
"Something twisted but not horror",genre_preference
"I want a story about friendship",genre_preference
"Got any courtroom dramas?",genre_preference
"In the mood for historical films",genre_preference
"I want weird psychological stuff",genre_preference
"Give me teen rom-com vibes pls",genre_preference
"I want martial arts movies",genre_preference
"Anything fantasy-adventure?",genre_preference
"I want a film with heists",genre_preference
"Give me time travel movies",genre_preference
"I want gritty war drama",genre_preference
"I'm craving a musical film",genre_preference
"I want cats, romance, and chaos lol",genre_preference
"Give me something very slow and poetic",genre_preference
"I want a revenge thriller",genre_preference
"I'm in the mood for silly slapstick",genre_preference
"Any deep philosophical films?",genre_preference
"I want biopics today",genre_preference
"Looking for survival horror",genre_preference
"Give me a courtroom thriller",genre_preference
"I want a scary movie but not too scary",genre_preference
"Show me movies about robots",genre_preference
"I want a mystery with minimal gore",genre_preference
"I'm craving a college rom-com",genre_preference
"Give me apocalyptic vibes",genre_preference
"I want a movie with dragons",genre_preference
"Prefer detective stories",genre_preference
"I want a movie that's weird and artistic",genre_preference
"Give me superhero movies",genre_preference
"I want intense emotional dramas",genre_preference
"In the mood for mafia and gangs",genre_preference
"Give me cozy winter movies",genre_preference
"I want pirate adventures",genre_preference
"Looking for vampire romances",genre_preference
"I want a dark political thriller",genre_preference
"Give me courtroom humor movies",genre_preference
"Want anime-style fantasy",genre_preference
"I want horror but with comedy",genre_preference
"Give me wholesome pet movies",genre_preference
"I want a tragic love story",genre_preference
"I'm craving a film with mythology",genre_preference
"I want comfort-watch rom-coms",genre_preference
"I want blood-pumping action",genre_preference
"Show me conspiracy thrillers",genre_preference
"Give me light mystery, nothing heavy",genre_preference
"In the mood for animation",genre_preference
"I want a movie about musicians",genre_preference
"Give me travel-based movies",genre_preference
"I want zombie apocalypse stuff",genre_preference
"Prefer black-and-white classics",genre_preference
"Give me a fantasy world escape",genre_preference
"I want cute romance with comedy",genre_preference
